CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxNesting,RatioCommentToCode,number of parameter,"number of parameter without *args, **kargs",lineno,PAR,class
5,0,4,1,3,1,2,0,4,1,3,2,2,2,1,1,0.25,3,3,29,3,0
14,2,2,1,1,10,1,0,2,1,1,1,1,1,1,0,5,3,1,96,3,0
4,0,4,2,3,0,1,0,4,2,3,1,1,1,1,0,0,3,3,174,3,0
13,0,9,1,8,4,5,1,9,1,8,4,4,4,4,2,0.44,4,4,92,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,4,2,436,4,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,1,80,3,0
5,0,4,1,3,1,1,0,4,1,3,1,1,1,1,0,0.25,3,3,417,3,0
4,0,4,4,3,0,1,0,4,4,3,1,1,1,1,0,0,4,4,58,4,0
11,0,5,1,4,6,2,0,4,1,3,2,2,3,1,1,1.2,3,3,47,3,0
3,0,3,3,2,0,1,0,3,3,2,1,1,1,1,0,0,3,3,17,3,0
47,0,31,7,30,16,145,2,27,7,26,11,11,18,1,3,0.52,4,4,128,3,0
12,0,12,6,11,1,2,0,12,6,11,2,2,2,1,1,0.08,3,3,29,3,0
29,0,29,4,28,0,2,0,7,4,6,2,2,2,1,1,0,3,3,119,3,0
28,0,21,3,20,7,17,1,13,3,12,6,6,6,3,2,0.33,3,3,108,3,0
8,0,7,1,6,1,3,0,5,1,4,3,3,3,3,2,0.14,4,4,80,4,0
15,0,13,3,12,2,9,1,9,3,8,5,5,6,3,2,0.15,3,3,127,3,0
5,0,4,2,3,1,1,0,3,2,2,1,1,1,1,0,0.25,3,3,170,3,0
12,0,12,2,11,0,2,0,7,2,6,3,3,3,1,1,0,3,3,172,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,5,5,414,5,1
210,21,150,25,149,39,48746881,8,105,25,104,38,38,47,22,4,0.26,4,4,71,4,0
15,0,15,5,14,0,4,1,14,5,13,3,3,4,1,1,0,5,5,494,3,0
16,0,11,2,10,5,9,1,11,2,10,5,5,5,3,2,0.45,5,4,109,4,1
5,0,4,2,3,1,1,0,4,2,3,1,1,1,1,0,0.25,3,1,62,3,0
35,1,21,1,20,13,14,1,18,1,17,10,10,15,10,3,0.62,5,5,174,4,1
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,3,1355,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,3,43,3,0
4,0,4,1,3,0,2,0,4,1,3,2,2,2,1,1,0,4,4,1972,3,0
3,0,3,2,2,0,1,0,3,2,2,1,1,1,1,0,0,3,1,902,3,0
34,0,25,6,24,9,4,1,20,6,19,5,5,6,4,3,0.36,3,3,49,3,0
10,0,10,3,9,0,8,1,10,3,9,4,4,4,1,1,0,3,3,936,3,0
8,0,7,2,6,1,4,1,7,2,6,3,3,3,1,1,0.14,4,4,258,3,0
54,9,24,13,23,21,32,2,24,13,23,6,6,8,4,1,0.88,5,5,52,4,1
86,11,39,6,38,36,63,2,34,6,33,14,14,14,10,3,0.92,5,5,105,5,1
3,0,3,2,2,0,1,0,3,2,2,1,1,1,1,0,0,4,2,951,4,0
22,1,21,4,20,0,12,1,12,4,11,6,6,6,1,1,0,3,3,198,3,0
19,3,8,4,7,8,1,0,8,4,7,1,1,1,1,0,1,4,3,196,3,0
9,0,9,2,8,0,1,0,9,2,8,1,1,1,1,0,0,3,3,224,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,4,4,24,4,0
16,1,9,2,8,6,1,0,3,1,2,1,1,1,1,0,0.67,3,2,121,3,0
3,0,3,1,2,0,1,0,2,1,1,1,1,1,1,0,0,5,5,14,3,0
3,0,3,1,2,0,1,0,3,1,2,1,1,1,1,0,0,3,1,1443,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,3,5346,3,0
5,0,5,2,4,0,1,0,5,2,4,1,1,1,1,0,0,5,5,13,5,1
3,0,3,2,2,0,1,0,3,2,2,1,1,1,1,0,0,3,3,69,3,0
6,0,6,1,5,0,3,0,6,1,5,3,3,3,3,1,0,3,3,51,3,0
4,0,4,1,3,0,1,0,3,1,2,1,1,1,1,0,0,4,2,2055,3,0
5,0,5,3,4,0,1,0,5,2,4,1,1,1,1,1,0,4,4,38,4,0
